user,date,start time,end time,duration,activity,log type,steps,distance,elevation gain,calories,
A,04-01-2022,12:21:10 PM,1:47:22 PM,86,Walk,auto_detected,5768,0,0,508,
B,04-01-2022,11:27:42 AM,12:58:28 PM,90,Hike,tracker,6519,4.46707,188.976,730,
A,04-02-2022,12:26:20 PM,1:25:13 PM,58,Walk,auto_detected,4812,0,91.44,343,
B,04-02-2022,1:53:22 PM,2:39:28 PM,46,Walk,auto_detected,4147,0,243.84,357,
A,04-03-2022,8:30:12 AM,8:48:08 AM,17,Walk,auto_detected,1640,0,15.24,141,
B,04-03-2022,6:01:08 PM,6:37:14 PM,36,Run,tracker,5760,6.465203,46.33,460,
A,04-04-2022,10:24:12 AM,10:30:22 AM,6,Fitstar: Personal Trainer,fitstar,117,0,0,45,
B,04-04-2022,7:32:36 AM,7:52:14 AM,19,Walk,auto_detected,2065,0,6.096,171,
A,04-05-2022,7:37:22 AM,8:01:15 AM,23,Walk,auto_detected,2369,0,30.48,262,
B,04-05-2022,8:50:13 PM,9:08:09 PM,17,Walk,auto_detected,1573,0,6.096,134,
A,04-06-2022,3:02:08 PM,3:17:30 PM,15,Walk,auto_detected,1393,0,6.096,115,
B,04-06-2022,8:23:23 AM,8:48:59 AM,25,Walk,auto_detected,1779,0,15.24,166,
A,04-07-2022,11:46:26 AM,12:03:30 PM,17,Walk,auto_detected,1536,0,9.144,133,
B,04-07-2022,9:39:00 AM,10:15:46 AM,36,Run,tracker,5937,6.47782,45.415,472,
